t=2025-11-15T16:53:22+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-15T16:53:22+0100 lvl=info msg="using configuration at default config path" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-15T16:53:22+0100 lvl=info msg="open config file" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-15T17:32:08+0100 lvl=info msg="join connections" obj=join id=9e17081f3f0a l=[::1]:3000 r=44.201.255.25:24780
t=2025-11-15T17:32:10+0100 lvl=info msg="join connections" obj=join id=36203421b040 l=[::1]:3000 r=3.85.176.100:48336
t=2025-11-15T17:32:15+0100 lvl=info msg="join connections" obj=join id=69dd6885d9f9 l=[::1]:3000 r=3.93.174.46:54208
t=2025-11-15T17:32:21+0100 lvl=info msg="join connections" obj=join id=33b34f6a55e4 l=[::1]:3000 r=3.83.12.248:24020
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=8f234edfaf90 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=806389c905ba l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=79e48a4d6dea l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=20dcccb36391 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=1b879924c033 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=72afd551c75c l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=3d1c456b5ad8 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=0d2cc98bd79e l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=fb55b21e71f5 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=74f284485ddd l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=ecf175b39abe l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=6cdd0b4f7999 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=9c927bc88364 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=684de73cb6d6 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=7044013e8bdf l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:46+0100 lvl=info msg="join connections" obj=join id=7d1d57c147e7 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:47+0100 lvl=info msg="join connections" obj=join id=f08181655a43 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:37:48+0100 lvl=info msg="join connections" obj=join id=7500ebb4298c l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63329
t=2025-11-15T17:38:55+0100 lvl=info msg="join connections" obj=join id=523125b0c901 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:38:55+0100 lvl=info msg="join connections" obj=join id=5d661d6f0839 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:38:55+0100 lvl=info msg="join connections" obj=join id=f6bb3318cdda l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:39:09+0100 lvl=info msg="join connections" obj=join id=518f3c61d642 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
t=2025-11-15T17:39:14+0100 lvl=info msg="join connections" obj=join id=2c4fe615675b l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63327
